Variable,Description,SurveyQuestion,NaturalLanguageClause
grneffme,environment effect everyday life,G2. (How much do you agree or disagree with each of these statements?) Environmental problems have a direct effect on my everyday life.,whether environmental problems have a direct effect on everyday life
grnexagg,environmental threats exaggerated,How much do you agree or disagree with each of these statements? C. Many of the claims about environmental threats are exaggerated.,whether claims about environmental threats are exaggerated
grnprice,pay higher prices to help envir?,A. How willing would you be to pay much higher prices in order to protect the environment?,how willing to pay higher prices to protect the environment
grnprog,worry too much about progress harming envir,How much do you agree or disagree with each of the following statements. A. People worry too much about human progress harming the environment.,whether people worry too much about progress harming the environment
grnsol,accept cut in living stnds to help envir?,C. And how willing would you be to accept cuts in your standard of living in order to protect the environment?,how willing to accept cuts in living standards to protect the environment
grntaxes,pay higher taxes to help envir?,B. And how willing would you be to pay much higher taxes in order to protect the environment?,how willing to pay higher taxes to protect the environment
grwtharm,econ grwth always harms envir,How much do you agree or disagree with each of the following statements. F. Economic growth always harms the environment.,whether economic growth always harms the environment
grwthelp,amer needs econ grwth to protect envir,"How much do you agree or disagree with each of the following statements. C. In order to protect the environment, America needs economic growth.",whether America needs economic growth to protect the environment
harmsgrn,almost everything we do harms envir,And please check one box for each of these statements to show how much you agree or disagree with it. B. Almost everything we do in modern life harms the environment.,whether almost everything we do in modern life harms the environment
helpharm,way living helps or harms,G1. (How much do you agree or disagree with each of these statements?) I find it hard to know whether the way I live is helpful or harmful to the environment.,whether it is hard to know if the way you live helps or harms the environment
ihlpgrn,do what i can to help envir,"(How much do you agree or disagree with each of these statements?) I do what is right for the environment, even when it costs more money or takes more time",whether to do what is right for the environment even when it costs more money or time
impgrn,more important in life than save environment,How much do you agree or disagree with each of these statements? A. There are more important things to do in life than protect the environment.,whether there are more important things in life than protecting the environment
indusgen,indust air pollution danger to envir,"A. In general, do you think that air pollution caused by industry is…",the degree of danger industrial air pollution poses to the environment
nobuygrn,how often avoid products,K3. And how often do you avoid buying certain products for environmental reasons?,how often to avoid buying certain products for environmental reasons
nukegen,nuke power danger to envir,"A. In general, do you think that nuclear power stations are…",the degree of danger nuclear power stations pose to the environment
othssame,no saving environment unless others do same,How much do you agree or disagree with each of these statements? B. There is no point in doing what I can for the environment unless others do the same.,whether there is no point in helping the environment unless others do the same
scigrn,modern science will solve envir probs,How much do you agree or disagree with each of these statements? D. Modern science will solve our environmental problems with little change to our way of life.,whether modern science will solve environmental problems with little change to our way of life
tempgen,greenhouse effect danger to envir,"A. In general, do you think that a rise in the world's temperature caused by the `greenhouse effect', is…",the degree of danger the greenhouse effect poses to the environment
tempgen1,greenhouse effect danger to envir,"H. In general, do you think that a rise in the world's temperature caused by climate change is . . .",the degree of danger climate change poses to the environment
toodifme,too diff to do anything about envir,How much do you agree or disagree with each of these statements? A. It is just too difficult for someone like me to do much about the environment.,whether it is too difficult to do much about the environment
watergen,water pollution danger to envir,"A. In general, do you think that pollution of America's rivers, lakes, and streams is...",the degree of danger water pollution poses to rivers lakes and streams
cappun,favor or oppose death penalty for murder,Do you favor or oppose the death penalty for persons convicted of murder?,whether to favor or oppose the death penalty for murder
courts,courts dealing with criminals,"In general, do you think the courts in this area deal too harshly or not harshly enough with criminals?",whether courts deal too harshly or not harshly enough with criminals
polabuse,citizen said vulgar or obscene things,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen? A. Had said vulgar and obscene things to the policeman?,whether a policeman would be justified in striking a citizen who said vulgar things
polattak,citizen attacking policeman with fists,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen? D. Was attacking the policeman with his fists?,whether a policeman would be justified in striking a citizen who was attacking with fists
polescap,citizen attempting to escape custody,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen? C. Was attempting to escape from custody?,whether a policeman would be justified in striking a citizen attempting to escape custody
polhitok,ever approve of police striking citizen,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen?,whether there are situations in which to approve of police striking a citizen
polmurdr,citizen questioned as murder suspect,Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen? B. Was being questioned as a suspect in a murder case?,whether a policeman would be justified in striking a citizen being questioned as a murder suspect
colath,allow anti-religionist to teach,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . B. Should such a person be allowed to teach in a college or university, or not?",whether an anti-religious person should be allowed to teach in college
colcom,should communist teacher be fired,"Now, I should like to ask you some questions about a man who admits he is a Communist. B. Suppose he is teaching in a college. Should he be fired, or not?",whether a communist teacher should be fired
colhomo,allow homosexual to teach,"And what about a man who admits that he is a homosexual? B. Should such a person be allowed to teach in a college or university, or not?",whether a homosexual person should be allowed to teach in college
colmil,allow militarist to teach,"Consider a person who advocates doing away with elections and letting the military run the country. B. Should such a person be allowed to teach in a college or university, or not?",whether a person advocating military rule should be allowed to teach in college
colmslm,allow anti-american muslim clergymen teaching in college,"Now consider a Muslim clergyman who preaches hatred of the United States. B. Should such a person be allowed to teach in a college or university, or not?",whether a Muslim clergyman who preaches hatred of the United States should be allowed to teach in college
colrac,allow racist to teach,"Or consider a person who believes that Black people are genetically inferior....B. Should such a person be allowed to teach in a college or university, or not?",whether a person who believes Black people are genetically inferior should be allowed to teach in college
conarmy,confidence in military,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. M. Military",the level of confidence in the military
conbus,confidence in major companies,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. B. Major companies",the level of confidence in major companies
conclerg,confidence in organized religion,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. C. Organized religion",the level of confidence in organized religion
coneduc,confidence in education,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. D. Education",the level of confidence in education
confed,confid. in exec branch of fed govt,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. E. Executive branch of the federal government",the level of confidence in the executive branch of the federal government
confinan,confid in banks & financial institutions,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. A. Banks and financial institutions",the level of confidence in banks and financial institutions
conjudge,confid. in united states supreme court,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. J. U.S. Supreme Court",the level of confidence in the United States Supreme Court
conlegis,confidence in congress,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. L. Congress",the level of confidence in Congress
dangroth,x should be admitted to be hospitalized for treatment if dangerous to others,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... E. Be admitted to a hospital for treatment if s/he is dangerous to others.,whether people with mental health problems should be forced to be hospitalized if dangerous to others
dangrslf,x should be admitted to be hospitalized for treatment if dangerous to x,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... D. Be admitted to a hospital for treatment if s/he is dangerous to him/herself.,whether people with mental health problems should be forced to be hospitalized if dangerous to themselves
mustdoc,x should be forced to be examined at a clinic by law,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... A. Get treatment at a clinic or from a doctor.,whether people with mental health problems should be forced by law to be examined by a doctor
musthosp,x should be admitted to be hospitalized for treatment by law,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... C. Be admitted to a hospital for treatment.,whether people with mental health problems should be forced by law to be hospitalized
mustmed,x should be forced to take prescribed medication by law,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... B. Take a prescription medication to control his/her behavior.,whether people with mental health problems should be forced by law to take medication
viggrp,how willing r would have a group home for x,"How willing would you be (READ A-F) -- definitely willing, probably willing, probably unwilling, or definitely unwilling? E. To have a group home for people like NAME opened in your neighborhood?",how willing to have a group home for people with mental health problems in the neighborhood
divlaw,divorce laws,A. Should divorce in this country be easier or more difficult to obtain than it is now?,whether divorce should be easier or more difficult to obtain
eqwlth,should govt reduce income differences,"A. Some people think that the government in Washington ought to reduce the income differences between the rich and the poor, perhaps by raising the taxes of wealthy families or by giving income assistance to the poor. Others think that the government should not concern itself with reducing this income difference between the rich and the poor. Here is a card with a scale from 1 to 7. Think of a score of 1 as meaning that the government ought to reduce the income differences between rich and poor, and a score of 7 meaning that the government should not concern itself with reducing income differences. What score between 1 and 7 comes closest to the way you feel? (CIRCLE ONE):",whether the government should reduce income differences between the rich and poor
goveqinc,govmnt should reduce inc differentials,Do you agree or disagree? B. It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.,whether it is the government's responsibility to reduce income differences
goveqinc1,govnmnt should fix income differences,To what extent do you agree or disagree with the following statements? It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.,whether it is the government's responsibility to fix income differences
govineq1,politicians do not care about reducing inc differences,To what extent do you agree or disagree with the following statement: Most politicians in America do not care about reducing the differences in income between people with high incomes and people with low incomes.,whether most politicians care about reducing income differences
govineq2,us govt success in reducing inc differences,How successful do you think the government in America is nowadays in reducing the differences in income between people with high incomes and people with low incomes?,how successful the government is at reducing income differences
govchrst,the federal government should advocate christian values.,The federal government should advocate Christian values.,whether the federal government should advocate Christian values
govfnaid,govt should give financial assistance to college students from low-income famili,"The government should give financial assistance to college students from low-income families, even if it might require a tax increase to pay for it",whether the government should give financial aid to college students from low-income families
govfnanc,govt should finance projects to create new jobs,"The government should finance projects to create new jobs, even if it might require a tax increase",whether the government should finance projects to create new jobs
govunemp,govmnt should provide unemp benefits,Do you agree or disagree? F. The government should provide a decent standard of living for the unemployed.,whether the government should provide unemployment benefits
helpblk,Should govt aid Black people?,"Now look at CARD BF. Some people think that Black people have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to Black people.A. Where would you place yourself on this scale, or haven't you made up your mind on this?",whether the government has a special obligation to help improve the living standards of Black people
helpnot,should govt do more or less?,"Now look at CARD BD. Some people think that the government in Washington is trying to do too many things that should be left to individuals and private businesses. Others disagree and think that the government should Do even more to solve our country's problems. Still others have opinions somewhere in between. A. Where would you place yourself on this scale, or haven't you made up your mind on this?",whether the government should do more or less to solve the country's problems
helppoor,should govt improve standard of living?,"I'd like to talk with you about issues some people tell us are important. Please look at CARD BC. Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans; they are at Point 1 on this card. Other people think it is not the government's responsibility, and that each person should take care of himself; they are at Point 5. A. Where would you place yourself on this scale, or haven't you have up your mind on this?",whether the government should improve the standard of living of poor Americans
helpsick,should govt help pay for medical care?,"Look at CARD BE. In general, some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. A. Where would you place yourself on this scale, or haven't you made up your mind on this?",whether it is the government's responsibility to help people pay for medical care
hlthgov,GOVT SHOULD PROVIDE ONLY LIMITED HEALTH CARE,(How much do you agree or disagree with the following statements?) The government should provide only limited health care services.,whether the government should provide only limited health care services
grass,should marijuana be made legal,Do you think the use of marijuana should be made legal or not?,whether marijuana should be made legal
gunlaw,favor or oppose gun permits,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun?,whether to favor or oppose requiring a permit to buy a gun
hubbywk1,men should earn money women keep house,"And, do you agree or disagree . . . A. A man''s job is to earn money; a woman''s job is to look after the home and family.",whether a man's job is to earn money and a woman's job is to look after the home
inteduc,interested in local school issues,"Local school issues. (Are you very interested, moderately interested, or not at all interested?)",how interested to be in local school issues
intenvir,interested in environmental issues,"Issues about environmental pollution. (Are you very interested, moderately interested, or not at all interested?)",how interested to be in environmental issues
intfarm,interested in farm issues,"Agricultural and farm issues. (Are you very interested, moderately interested, or not at all interested?)",how interested to be in agricultural and farm issues
intmil,interested in military policy,"Issues about military and defense policy. (Are you very interested, moderately interested, or not at all interested?)",how interested to be in military and defense policy issues
intspace,interested in space exploration,"Issues about space exploration. (Are you very interested, moderately interested, or not at all interested?)",how interested to be in space exploration issues
ldctax,rich countries pay tax to help poor countries,"Turning to international differences, do you agree or disagree: B. People in wealthy countries should make an additional tax contribution to help people in poor countries.",whether people in wealthy countries should pay extra taxes to help people in poor countries
uswary,expect u.s. in world war in 10 years,Do you expect the United States to fight in another world war within the next ten years?,whether the United States is expected to fight in another world war
letdie1,allow incurable patients to die,"When a person has a disease that cannot be cured, do you think Doctors should be allowed by law to end the patient''s life by some painless means if the patient and his family request it?",whether doctors should be allowed by law to end an incurable patient's life if requested
letdie1y,allow incurable patients to die (form 2),"When a person has a disease that cannot be cured, do you think doctors should or should not be allowed by law to end the patient's life by some painless means if the patient and his family request it?",whether doctors should be allowed by law to end an incurable patient's life if requested
libath,allow anti-religious book in library,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . C. If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?",whether an anti-religious book should be removed from the public library
libathy,allow anti-religionist to teach y,"(There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion…) If some people in your community suggested that a book this person wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?",whether an anti-religious book should be removed from the public library
libcom,allow communists book in library,"Now, I should like to ask you some questions about a man who admits he is a Communist. C. Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it, or not?",whether a communist's book should be removed from the public library
libhomo,allow homosexuals book in library,"And what about a man who admits that he is a homosexual? C. If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library, would you favor removing this book, or not?",whether a book in favor of homosexuality should be removed from the public library
libmil,allow militarists book in library,"Consider a person who advocates doing away with elections and letting the military run the country. C. Suppose he wrote a book advocating doing away with elections and letting the military run the country. somebody in your community suggests that the book be removed from the public library. Would you favor removing it, or not?",whether a book advocating military rule should be removed from the public library
libmslm,allow anti-american muslim clergymen's books in library,"Now consider a Muslim clergyman who preaches hatred of the United States. C. If some people in your community suggested that a book he wrote which preaches hatred of the United States should be taken out of your public library, would you favor removing this book, or not?",whether a book preaching hatred of the United States should be removed from the public library
librac,allow racists book in library,"Or consider a person who believes that Black people are genetically inferior.C. If some people in your community suggested that a book he wrote which said Black people are inferior should be taken out of your public library, would you favor removing this book, or not?",whether a book saying Black people are inferior should be removed from the public library
nataid,foreign aid,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? J. Foreign aid",how much money to spend on foreign aid
nataidy,assistance to other countries:ver y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? J. Assistance to other countries",how much money to spend on assistance to other countries
natarms,"military, armaments, and defense","We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? I. The military, armaments and defense",how much money to spend on the military armaments and defense
natarmsy,national defense:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? I. National defense",how much money to spend on national defense
natchld,assistance for childcare,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? P. Assistance for childcare",how much money to spend on assistance for childcare
natcity,solving problems of big cities,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? D. Solving the problems of the big cities",how much money to spend on solving problems of big cities
natcityy,assistance to big cities:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? D. Assistance to big cities",how much money to spend on assistance to big cities
natcrime,halting rising crime rate,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? E. Halting the rising crime rate",how much money to spend on halting the rising crime rate
natcrimy,law enforcement:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? E. Law enforcement",how much money to spend on law enforcement
natdrug,dealing with drug addiction,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? F. Dealing with drug addiction",how much money to spend on dealing with drug addiction
natdrugy,drug rehabilitation:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? F. Drug rehabilitation",how much money to spend on drug rehabilitation
nateduc,improving nations education system,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? G. Improving the nation's education system",how much money to spend on improving the nation's education system
nateducy,education:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? G. Education",how much money to spend on education
natenrgy,developing alternative energy sources,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? R. Developing alternative energy sources",how much money to spend on developing alternative energy sources
natenvir,improving & protecting environment,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? B. Improving and protecting the environment",how much money to spend on improving and protecting the environment
natenviy,the environment:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? B. The environment",how much money to spend on the environment
