Variable,Description,NaturalLanguageClause
conarmy,confidence in military,the level of confidence in the military
conbus,confidence in major companies,the level of confidence in major companies
conclerg,confidence in organized religion,the level of confidence in organized religion
coneduc,confidence in education,the level of confidence in education
confed,confid. in exec branch of fed govt,the level of confidence in the executive branch of the federal government
confinan,confid in banks & financial institutions,the level of confidence in banks and financial institutions
conjudge,confid. in united states supreme court,the level of confidence in the United States Supreme Court
conlegis,confidence in congress,the level of confidence in Congress
dangroth,x should be admitted to be hospitalized for treatment if dangerous to others,whether people with mental health problems should be forced to be hospitalized if dangerous to others
dangrslf,x should be admitted to be hospitalized for treatment if dangerous to x,whether people with mental health problems should be forced to be hospitalized if dangerous to themselves
mustdoc,x should be forced to be examined at a clinic by law,whether people with mental health problems should be forced by law to be examined by a doctor
musthosp,x should be admitted to be hospitalized for treatment by law,whether people with mental health problems should be forced by law to be hospitalized
mustmed,x should be forced to take prescribed medication by law,whether people with mental health problems should be forced by law to take medication
viggrp,how willing r would have a group home for x,how willing to have a group home for people with mental health problems in the neighborhood
divlaw,divorce laws,whether divorce should be easier or more difficult to obtain
eqwlth,should govt reduce income differences,whether the government should reduce income differences between the rich and poor
goveqinc,govmnt should reduce inc differentials,whether it is the government's responsibility to reduce income differences
goveqinc1,govnmnt should fix income differences,whether it is the government's responsibility to fix income differences
govineq1,politicians do not care about reducing inc differences,whether most politicians care about reducing income differences
govineq2,us govt success in reducing inc differences,how successful the government is at reducing income differences
govchrst,the federal government should advocate christian values.,whether the federal government should advocate Christian values
govfnaid,govt should give financial assistance to college students from low-income famili,whether the government should give financial aid to college students from low-income families
govfnanc,govt should finance projects to create new jobs,whether the government should finance projects to create new jobs
govunemp,govmnt should provide unemp benefits,whether the government should provide unemployment benefits
helpblk,Should govt aid Black people?,whether the government has a special obligation to help improve the living standards of Black people
helpnot,should govt do more or less?,whether the government should do more or less to solve the country's problems
helppoor,should govt improve standard of living?,whether the government should improve the standard of living of poor Americans
helpsick,should govt help pay for medical care?,whether it is the government's responsibility to help people pay for medical care
hlthgov,GOVT SHOULD PROVIDE ONLY LIMITED HEALTH CARE,whether the government should provide only limited health care services
grass,should marijuana be made legal,whether marijuana should be made legal
gunlaw,favor or oppose gun permits,whether to favor or oppose requiring a permit to buy a gun
hubbywk1,men should earn money women keep house,whether a man's job is to earn money and a woman's job is to look after the home
inteduc,interested in local school issues,how interested to be in local school issues
ldctax,rich countries pay tax to help poor countries,whether people in wealthy countries should pay extra taxes to help people in poor countries
uswary,expect u.s. in world war in 10 years,whether the United States is expected to fight in another world war
letdie1,allow incurable patients to die,whether doctors should be allowed by law to end an incurable patient's life if requested
letdie1y,allow incurable patients to die (form 2),whether doctors should be allowed by law to end an incurable patient's life if requested
libath,allow anti-religious book in library,whether an anti-religious book should be removed from the public library
libathy,allow anti-religionist to teach y,whether an anti-religious book should be removed from the public library
libcom,allow communists book in library,whether a communist's book should be removed from the public library
libhomo,allow homosexuals book in library,whether a book in favor of homosexuality should be removed from the public library
libmil,allow militarists book in library,whether a book advocating military rule should be removed from the public library
libmslm,allow anti-american muslim clergymen's books in library,whether a book preaching hatred of the United States should be removed from the public library
librac,allow racists book in library,whether a book saying Black people are inferior should be removed from the public library
nataid,foreign aid,how much money to spend on foreign aid
nataidy,assistance to other countries:ver y,how much money to spend on assistance to other countries
natarms,"military, armaments, and defense",how much money to spend on the military armaments and defense
natarmsy,national defense:version y,how much money to spend on national defense
natchld,assistance for childcare,how much money to spend on assistance for childcare
natcity,solving problems of big cities,how much money to spend on solving problems of big cities
natcityy,assistance to big cities:version y,how much money to spend on assistance to big cities
natcrime,halting rising crime rate,how much money to spend on halting the rising crime rate
natcrimy,law enforcement:version y,how much money to spend on law enforcement
natdrug,dealing with drug addiction,how much money to spend on dealing with drug addiction
natdrugy,drug rehabilitation:version y,how much money to spend on drug rehabilitation
nateduc,improving nations education system,how much money to spend on improving the nation's education system
nateducy,education:version y,how much money to spend on education
natenrgy,developing alternative energy sources,how much money to spend on developing alternative energy sources
natenvir,improving & protecting environment,how much money to spend on improving and protecting the environment
natenviy,the environment:version y,how much money to spend on the environment
natfare,welfare,how much money to spend on welfare
natfarey,assistance to the poor:version y,how much money to spend on assistance to the poor
natheal,improving & protecting nations health,how much money to spend on improving and protecting the nation's health
nathealy,health:version y,how much money to spend on health
natmass,mass transportation,how much money to spend on mass transportation
natpark,parks and recreation,how much money to spend on parks and recreation
natrace,Improving the conditions of Black people,how much money to spend on improving the conditions of Black people
natracey,Assistance to Black people: version y,how much money to spend on assistance to Black people
natroad,highways and bridges,how much money to spend on highways and bridges
natsci,supporting scientific research,how much money to spend on supporting scientific research
natsoc,social security,how much money to spend on social security
natspac,space exploration program,how much money to spend on the space exploration program
natspacy,space exploration:version y,how much money to spend on space exploration
nextgen,science & tech. give more opportunities to next generation,whether science and technology will give more opportunities to the next generation
oprace,need to be right race to get ahead,how important being the right race is for getting ahead in life
opsex,need to be right sex to get ahead,how important being born a man or woman is for getting ahead in life
polviews,think of self as liberal or conservative,where to place oneself on the liberal to conservative scale
pillok,birth control to teenagers 14-16,whether birth control should be available to teenagers without parental approval
sexeduc,sex education in public schools,whether to favor or oppose sex education in public schools
prayer,bible prayer in public schools,whether to approve or disapprove of the Supreme Court ruling against Bible prayer in public schools
religinf,the u.s. would be a better country if religion had less influence,whether the United States would be better if religion had less influence
racdif1,differences due to discrimination,whether differences in jobs income and housing between Black people and white people are mainly due to discrimination
racdif2,differences due to in-born learning ability,whether differences between Black people and white people are due to inborn ability
racdif3,differences due to lack of education,whether differences between Black people and white people are due to lack of education
racdif4,differences due to lack of will,whether differences between Black people and white people are due to lack of motivation or willpower
racopen,vote on open housing law,whether to vote for a law allowing homeowners to refuse to sell based on race or one prohibiting such refusal
intlwhts,unintelligent -intelligent,how intelligent white people tend to be
wlthwhts,rich - poor,how wealthy white people tend to be
workwhts,hard working - lazy,how hardworking white people tend to be
spkath,allow anti-religionist to speak,whether an anti-religious person should be allowed to make a speech
spkathy,allow anti-religionist to speak y,whether an anti-religious person should be allowed to make a speech
spkcom,allow communist to speak,whether a communist should be allowed to make a speech
spkcomy,allow communist to speak y,whether a communist should be allowed to make a speech
spkhomo,allow homosexual to speak,whether a homosexual person should be allowed to make a speech
spkhomoy,allow homosexual to speak y,whether a gay person should be allowed to make a speech
spkmil,allow militarist to speak,whether a person advocating military rule should be allowed to make a speech
spkmily,allow militarist to speak y,whether a person advocating military rule should be allowed to make a speech
spkmslm,allow muslim clergymen preaching hatred of the us,whether a Muslim clergyman who preaches hatred of the United States should be allowed to make a speech
spkmslmy,allow muslim clergymen preaching hatred of the us y,whether an Islamic religious leader who preaches hatred of the United States should be allowed to make a speech
spkrac,allow racist to speak,whether a person who believes Black people are inferior should be allowed to make a speech
spkracy,allow racist to speak y,whether a person who believes Black people are inferior should be allowed to make a speech
tax,r's federal income tax,whether the amount of federal income tax paid is too high about right or too low
